"","X","Name","Location","Year","Kilometers_Driven","Owner_Type","Mileage","Engine","Power","Seats","New_Price","Price","Fuel_TypeDiesel","Fuel_TypePetrol","TransmissionAutomatic","TransmissionManual","Age","Annual_Value_Loss"
"893",925,"Volkswagen Jetta 2007-2011 1.9 Highline TDI","Pune",2014,64889,"First",15.5,1896,105,5,20.9168341708543,11.5,1,0,1,0,10,0.941683417085427
"894",927,"Hyundai Creta 1.6 CRDi SX","Kolkata",2015,43000,"First",19.67,1582,126.2,5,20.9168341708543,9.25,1,0,0,1,9,1.2963149078727
"895",928,"Skoda Fabia 1.2 MPI Ambiente Petrol","Pune",2011,47490,"First",17.5,1198,75,5,20.9168341708543,2.29,0,1,0,1,13,1.43283339775802
"896",929,"Ford EcoSport 1.5 TDCi Titanium","Chennai",2015,80000,"First",22.77,1498,98.59,5,20.9168341708543,7,1,0,0,1,9,1.5463149078727
"897",930,"Maruti Zen Estilo 1.1 LXI BSIII","Bangalore",2007,60000,"Second",18.2,1061,64,5,20.9168341708543,1.65,0,1,0,1,17,1.13334318652084
"898",931,"Maruti Ciaz 1.4 Delta","Ahmedabad",2017,6006,"First",20.73,1373,91.1,5,20.9168341708543,8.25,0,1,0,1,7,1.80954773869347
"899",932,"Mercedes-Benz New C-Class C 200 Avantgarde Edition C","Kochi",2011,71703,"First",14.74,1991,181.03,5,20.9168341708543,9.14,0,1,1,0,13,0.905910320834944
"900",933,"Honda Amaze SX i-VTEC","Hyderabad",2016,33000,"First",17.8,1198,86.7,5,20.9168341708543,6.5,0,1,0,1,8,1.80210427135678
"901",935,"Renault Duster 85PS Diesel RxL","Jaipur",2015,91000,"First",19.87,1461,83.8,5,20.9168341708543,5.75,1,0,0,1,9,1.68520379676159
"902",937,"Volkswagen Polo Petrol Highline 1.2L","Kolkata",2011,43000,"Second",16.47,1198,73.9,5,20.9168341708543,2.1,0,1,0,1,13,1.44744878237341
"903",938,"Hyundai Creta 1.6 SX Plus Diesel","Coimbatore",2017,63770,"First",19.67,1582,126.2,5,20.9168341708543,13.55,1,0,0,1,7,1.05240488155061
"904",939,"Jaguar XF Diesel","Kolkata",2012,43510,"First",14.74,2993,270.9,5,20.9168341708543,20.5,1,0,1,0,12,0.0347361809045227
"905",940,"Jeep Compass 2.0 Limited 4X4","Mumbai",2017,52000,"First",16.3,1956,170,5,24.26,20,1,0,0,1,7,0.608571428571429
"906",941,"Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic","Kochi",2018,31427,"First",15.68,1999,177,5,75.12,59.72,1,0,1,0,6,2.56666666666667
"907",942,"Maruti Baleno Alpha Diesel","Kolkata",2016,29000,"First",27.39,1248,74,5,9.53,6.5,1,0,0,1,8,0.37875
"908",943,"Maruti Ciaz ZDi SHVS","Ahmedabad",2016,56000,"First",28.09,1248,88.5,5,20.9168341708543,7.5,1,0,0,1,8,1.67710427135678
"909",944,"Maruti SX4 Vxi BSIII","Jaipur",2007,76000,"Second",15,1586,104.68,5,20.9168341708543,2.15,0,1,0,1,17,1.10393142181496
"910",945,"Hyundai Elantra CRDi SX","Coimbatore",2015,53615,"First",22.7,1582,126.24,5,20.9168341708543,8.44,1,0,0,1,9,1.3863149078727
"911",946,"Mitsubishi Pajero Sport 4X4","Bangalore",2013,132000,"First",13.5,2477,175.56,7,34.6,12.49,1,0,0,1,11,2.01
"912",947,"Volkswagen Ameo 1.2 MPI Comfortline","Pune",2017,14800,"First",17,1198,73.75,5,20.9168341708543,5.48,0,1,0,1,7,2.20526202440775
"913",948,"Maruti Ritz VXi","Hyderabad",2013,35433,"First",18.5,1197,85.8,5,20.9168341708543,4.2,0,1,0,1,11,1.51971219735039
"914",949,"Hyundai Verna CRDi SX","Hyderabad",2013,82966,"First",16.8,1493,110,5,20.9168341708543,7.2,1,0,0,1,11,1.24698492462312
"915",950,"Maruti Swift Dzire Tour LDI","Jaipur",2014,96000,"First",23.4,1248,74,5,20.9168341708543,4.8,1,0,0,1,10,1.61168341708543
"916",951,"Mahindra KUV 100 mFALCON D75 K6","Kochi",2017,39528,"First",25.32,1198,77,6,20.9168341708543,5.83,1,0,0,1,7,2.15526202440775
"917",952,"Toyota Innova Crysta 2.4 ZX MT","Coimbatore",2018,92056,"First",13.68,2393,147.8,7,26.45,18.39,1,0,0,1,6,1.34333333333333
"918",953,"Maruti Baleno Delta 1.2","Pune",2016,14930,"First",21.4,1197,83.1,5,20.9168341708543,5.85,0,1,0,1,8,1.88335427135678
"919",954,"Honda Jazz VX Diesel","Mumbai",2016,38000,"First",27.3,1498,98.6,5,11.15,6.21,1,0,0,1,8,0.6175
"920",955,"Hyundai i20 1.2 Asta","Delhi",2013,71000,"First",17,1197,80,5,20.9168341708543,3.65,0,1,0,1,11,1.56971219735039
"921",956,"Hyundai i20 Sportz Diesel","Delhi",2012,71000,"First",23,1396,90,5,20.9168341708543,3.7,1,0,0,1,12,1.43473618090452
"922",957,"Mercedes-Benz New C-Class C 220d Avantgarde Edition C","Pune",2015,50000,"First",19.27,2143,167.62,5,20.9168341708543,30,1,0,1,0,9,-1.00924064768286
"923",958,"Hyundai Xcent 1.2 Kappa Base","Kochi",2016,48163,"First",19.1,1197,82,5,20.9168341708543,4.85,0,1,0,1,8,2.00835427135678
"924",959,"Hyundai Grand i10 AT Asta","Coimbatore",2017,19168,"First",18.9,1197,82,5,20.9168341708543,6.93,0,1,1,0,7,1.9981191672649
"925",960,"Maruti Alto 800 VXI","Kolkata",2016,26000,"First",22.74,796,47.3,5,20.9168341708543,2.6,0,1,0,1,8,2.28960427135678
"926",961,"Chevrolet Sail Hatchback 1.2 LS","Kolkata",2014,37400,"First",18.2,1199,82.5,5,20.9168341708543,1.89,0,1,0,1,10,1.90268341708543
"927",962,"Mercedes-Benz C-Class Progressive C 220d","Mumbai",2018,8682,"First",0,1950,194,5,52.26,39.5,1,0,1,0,6,2.12666666666667
"928",963,"Skoda Superb Elegance 1.8 TSI AT","Mumbai",2012,95000,"First",13.7,1798,157.75,5,20.9168341708543,10,0,1,1,0,12,0.909736180904523
"929",964,"Audi A4 2.0 TDI","Kolkata",2009,34000,"First",16.55,1968,147.51,5,20.9168341708543,9.95,1,0,1,0,15,0.731122278056952
"930",965,"Toyota Innova 2.5 G (Diesel) 7 Seater BS IV","Mumbai",2014,95000,"Second",12.8,2494,102,8,20.9168341708543,9.45,1,0,0,1,10,1.14668341708543
"931",966,"Mercedes-Benz CLA 200 CDI Sport","Coimbatore",2017,13689,"First",17.9,2143,136,5,20.9168341708543,28.25,1,0,1,0,7,-1.04759511844939
"932",967,"Hyundai i10 Era","Jaipur",2008,84000,"Second",19.81,1086,68.05,5,20.9168341708543,1.8,0,1,0,1,16,1.19480213567839
"933",968,"Maruti Swift Dzire VXi","Kolkata",2008,47000,"Second",17.5,1298,85.8,5,20.9168341708543,1.4,0,1,0,1,16,1.21980213567839
"934",969,"Skoda Rapid 1.5 TDI AT Ambition","Ahmedabad",2015,60001,"First",21.66,1498,103.52,5,20.9168341708543,7.25,1,0,1,0,9,1.51853713009492
"935",970,"Maruti Ritz VDi","Hyderabad",2012,96000,"First",21.1,1248,73.9,5,20.9168341708543,3.6,1,0,0,1,12,1.44306951423786
"936",971,"Hyundai Accent GLS 1.6","Jaipur",2004,47300,"Second",14.4,1599,94,5,20.9168341708543,1.2,0,1,0,1,20,0.985841708542714
"937",972,"Honda Amaze SX i-VTEC","Coimbatore",2014,28246,"Second",17.8,1198,86.7,5,20.9168341708543,4.94,0,1,0,1,10,1.59768341708543
"938",973,"Maruti Wagon R LXI","Delhi",2007,65000,"Second",18.9,998,67.1,5,20.9168341708543,1.25,0,1,0,1,17,1.15687259828555
"939",974,"Volkswagen Polo Diesel Comfortline 1.2L","Chennai",2013,68000,"Second",22.07,1199,73.9,5,20.9168341708543,4.8,1,0,0,1,11,1.46516674280493
"940",975,"Ford Endeavour 2.2 Trend AT 4X2","Kochi",2019,11209,"First",12.62,2198,158,7,20.9168341708543,31.15,1,0,1,0,5,-2.04663316582915
"941",976,"Hyundai i20 1.2 Sportz","Pune",2011,41980,"Second",17,1197,80,5,20.9168341708543,3.3,0,1,0,1,13,1.35514109006571
"942",977,"Chevrolet Beat Diesel PS","Bangalore",2012,65000,"First",25.44,936,57.6,5,20.9168341708543,2.4,1,0,0,1,12,1.54306951423786
"943",978,"Honda Civic 2010-2013 1.8 V MT","Kolkata",2010,38000,"First",14.8,1799,130.2,5,20.9168341708543,2,0,1,0,1,14,1.35120244077531
"944",979,"Maruti Wagon R VXI BS IV","Pune",2014,51000,"First",20.51,998,67.04,5,20.9168341708543,3.1,0,1,0,1,10,1.78168341708543
"945",980,"Skoda Rapid 1.6 MPI Ambition Plus","Kochi",2014,33855,"First",15,1598,103.6,5,20.9168341708543,5.09,0,1,0,1,10,1.58268341708543
"946",981,"Maruti Baleno Vxi - BSIII","Pune",2006,146000,"Second",15.4,1590,94,5,20.9168341708543,1.05,0,1,0,1,18,1.1037130094919
"947",982,"Ford EcoSport 1.5 TDCi Titanium","Bangalore",2015,47037,"Second",22.77,1498,98.59,5,20.9168341708543,7,1,0,0,1,9,1.5463149078727
"948",983,"Hyundai Accent GLE","Ahmedabad",2010,58000,"Second",13.2,1495,94,5,20.9168341708543,2.5,0,1,0,1,14,1.31548815506102
"949",984,"BMW 5 Series 520d Luxury Line","Mumbai",2012,61240,"First",22.48,1995,190,5,70.43,17.5,1,0,1,0,12,4.41083333333333
"950",985,"Maruti Alto K10 2010-2014 VXI","Chennai",2011,91211,"First",20.92,998,67.1,5,20.9168341708543,2.1,0,1,0,1,13,1.44744878237341
"951",986,"Audi Q3 2012-2015 2.0 TDI Quattro Premium Plus","Bangalore",2013,84000,"First",15.73,1968,174.33,5,20.9168341708543,17.75,1,0,1,0,11,0.287894015532207
"952",988,"Toyota Corolla H4","Bangalore",2005,67000,"Second",11.3,1794,125,5,20.9168341708543,2.45,0,1,1,0,19,0.971938640571278
"953",989,"Volvo XC60 D5","Pune",2011,106976,"First",13.5,2400,215,5,20.9168341708543,13.8,1,0,1,0,13,0.547448782373406
"954",990,"Honda Jazz 1.5 VX i DTEC","Kolkata",2016,27210,"First",27.3,1498,98.6,5,20.9168341708543,5.85,1,0,0,1,8,1.88335427135678
"955",991,"Maruti Ciaz 1.3 Alpha","Delhi",2017,26322,"First",28.09,1248,88.5,5,20.9168341708543,8.9,1,0,0,1,7,1.71669059583632
"956",992,"Maruti Swift VXI BSIV","Mumbai",2016,9107,"First",20.4,1197,81.8,5,20.9168341708543,5.15,0,1,0,1,8,1.97085427135678
"957",993,"Mercedes-Benz New C-Class C 220 CDI Avantgarde","Kochi",2015,63983,"First",19.27,2143,170,5,20.9168341708543,16.56,1,0,1,0,9,0.484092685650475
"958",994,"Maruti Wagon R VXI Minor","Chennai",2010,134000,"Second",18.9,1061,67,5,20.9168341708543,1.65,0,1,0,1,14,1.37620244077531
"959",995,"Mercedes-Benz A Class A180 Sport","Pune",2015,11000,"First",15.5,1595,120.7,5,20.9168341708543,16,0,1,1,0,9,0.546314907872697
"960",996,"Hyundai Santro Xing GL","Pune",2008,93000,"First",0,1086,62,5,20.9168341708543,1.45,0,1,0,1,16,1.21667713567839
"961",997,"Maruti Swift Dzire AMT ZDI","Coimbatore",2017,24852,"First",26.59,1248,74,5,20.9168341708543,8.08,1,0,1,0,7,1.83383345297918
"962",998,"Hyundai Grand i10 AT Asta","Pune",2014,37632,"First",18.9,1197,82,5,20.9168341708543,4.5,0,1,1,0,10,1.64168341708543
"963",999,"Nissan Sunny 2011-2014 XV Special Edition","Chennai",2013,55000,"Second",16.95,1498,97.7,5,20.9168341708543,4.3,0,1,0,1,11,1.51062128825948
"964",1000,"Maruti A-Star Lxi","Hyderabad",2010,81448,"First",19,998,66.1,5,20.9168341708543,2.6,0,1,0,1,14,1.30834529791816
"965",1001,"Renault KWID RXT Optional","Hyderabad",2018,1900,"First",25.17,799,53.3,5,4.8,4.45,0,1,0,1,6,0.0583333333333333
"966",1002,"Hyundai Verna 1.6 SX VTVT (O) AT","Coimbatore",2012,54957,"First",17.1,1591,121.4,5,20.9168341708543,5.37,0,1,1,0,12,1.29556951423786
"967",1003,"Maruti Wagon R LXI Minor","Chennai",2008,55000,"Second",18.9,1061,67,5,20.9168341708543,1.75,0,1,0,1,16,1.19792713567839
"968",1004,"BMW 3 Series 320d Sport Line","Kolkata",2013,21983,"First",18.88,1995,184,5,20.9168341708543,16.5,1,0,1,0,11,0.40153037916857
"969",1005,"BMW 5 Series 2003-2012 520d","Delhi",2013,76000,"First",18.48,1995,177,5,20.9168341708543,19,1,0,1,0,11,0.174257651895843
"970",1006,"Tata Indigo CS eVX","Jaipur",2016,65000,"First",25,1396,69.01,5,20.9168341708543,2.8,1,0,0,1,8,2.26460427135678
"971",1007,"Hyundai i20 Sportz 1.4 CRDi","Hyderabad",2015,26000,"First",22.54,1396,88.73,5,20.9168341708543,6.2,1,0,0,1,9,1.63520379676159
"972",1008,"Maruti Omni E MPI STD BS IV","Kochi",2019,11571,"First",16.8,796,34.2,8,20.9168341708543,3.8,0,1,0,1,5,3.42336683417085
"973",1009,"Maruti Swift ZDi","Hyderabad",2014,81000,"First",25.2,1248,74,5,20.9168341708543,6.1,1,0,0,1,10,1.48168341708543
"974",1010,"Ford Ecosport Signature Edition Diesel","Coimbatore",2019,23154,"First",23,1498,98.96,5,12.12,11.65,1,0,0,1,5,0.0939999999999998
"975",1011,"Honda Brio VX AT","Mumbai",2014,26856,"First",16.5,1198,86.8,5,20.9168341708543,4.15,0,1,1,0,10,1.67668341708543
"976",1012,"Toyota Innova Crysta 2.4 GX MT","Chennai",2017,67489,"First",13.68,2393,147.8,7,19.37,16.5,1,0,0,1,7,0.41
"977",1013,"Mahindra Scorpio 2.6 LX","Bangalore",2008,176000,"Second",10.5,2179,120,8,20.9168341708543,4.3,1,0,0,1,16,1.03855213567839
"978",1014,"Hyundai i20 1.2 Magna","Kolkata",2010,18000,"First",18.5,1197,80,5,20.9168341708543,2.25,0,1,0,1,14,1.33334529791816
"979",1015,"Hyundai Verna 1.6 SX","Ahmedabad",2014,63003,"First",22.32,1582,126.32,5,20.9168341708543,6.75,1,0,0,1,10,1.41668341708543
"980",1016,"Mahindra XUV500 W6 2WD","Chennai",2014,80000,"First",15.1,2179,140,7,20.9168341708543,9.4,1,0,0,1,10,1.15168341708543
"981",1017,"Volkswagen Vento 1.5 TDI Comfortline","Coimbatore",2014,56658,"First",20.64,1498,108.5,5,12.14,5.39,1,0,0,1,10,0.675
"982",1018,"Maruti Swift Dzire VDI Optional","Kochi",2019,18592,"First",26.59,1248,74,5,20.9168341708543,8.51,1,0,0,1,5,2.48136683417085
"983",1019,"Tata Manza Aura Safire BS IV","Pune",2010,75695,"First",13.7,1368,88.8,5,20.9168341708543,1.85,0,1,0,1,14,1.36191672648959
"984",1020,"Maruti Swift VDI","Kolkata",2012,82000,"Second",22.9,1248,74,5,20.9168341708543,2.5,1,0,0,1,12,1.53473618090452
"985",1021,"Volkswagen Polo Diesel Highline 1.2L","Chennai",2013,60000,"First",22.07,1199,73.9,5,20.9168341708543,4.75,1,0,0,1,11,1.46971219735039
"986",1022,"Honda City 1.5 V MT","Pune",2009,138000,"Second",17,1497,118,5,20.9168341708543,3.5,0,1,0,1,15,1.16112227805695
"987",1023,"Hyundai i20 Asta (o) 1.4 CRDi (Diesel)","Bangalore",2014,67000,"First",23,1396,90,5,20.9168341708543,5.5,1,0,0,1,10,1.54168341708543
"988",1024,"Honda City 1.5 V MT","Coimbatore",2012,42750,"First",17,1497,118,5,20.9168341708543,6.33,0,1,0,1,12,1.21556951423786
"989",1025,"Chevrolet Beat Diesel","Kochi",2014,52398,"First",25.44,936,57.6,5,20.9168341708543,2.47,1,0,0,1,10,1.84468341708543
"990",1026,"Chevrolet Spark 1.0 LS","Kochi",2014,36657,"First",16.2,995,62.1,5,20.9168341708543,3.3,0,1,0,1,10,1.76168341708543
"991",1027,"Tata New Safari DICOR 2.2 EX 4x2","Delhi",2011,77000,"Second",11.57,2179,138.1,7,20.9168341708543,3.5,1,0,0,1,13,1.3397564746811
"992",1028,"Mercedes-Benz GL-Class 350 CDI Blue Efficiency","Delhi",2014,85000,"First",11.3,2987,254.8,7,20.9168341708543,38.75,1,0,1,0,10,-1.78331658291457
"993",1029,"BMW 5 Series 2003-2012 530d Highline","Pune",2008,112500,"First",11.5,2993,235,5,20.9168341708543,7.99,1,0,1,0,16,0.807927135678392
"994",1030,"Toyota Fortuner 2.8 4WD MT","Kochi",2013,105072,"First",14.24,2755,174.5,7,36.69,13.28,1,0,0,1,11,2.12818181818182
"995",1031,"BMW X1 sDrive 18i","Pune",2012,80000,"First",11.25,1995,150,5,20.9168341708543,9.5,0,1,1,0,12,0.951402847571189
"996",1032,"Renault Captur 1.5 Diesel Platine Mono","Kochi",2019,3102,"First",20.37,1461,108.45,5,20.9168341708543,14.01,1,0,0,1,5,1.38136683417085
"997",1033,"Hyundai Xcent 1.1 CRDi S","Coimbatore",2016,14656,"First",24.4,1120,71,5,20.9168341708543,6.99,1,0,0,1,8,1.74085427135678
"998",1034,"BMW 3 Series 320d","Hyderabad",2010,105000,"Second",13.2,1995,170,5,20.9168341708543,11,1,0,1,0,14,0.708345297918162
"999",1035,"BMW 5 Series 2010-2013 525i","Hyderabad",2008,61000,"Second",10.8,2497,215,5,20.9168341708543,11,0,1,1,0,16,0.619802135678392
"1000",1036,"Nissan Micra XE","Pune",2010,85046,"Second",18.06,1198,75,5,20.9168341708543,2.3,0,1,0,1,14,1.32977386934673
"1001",1037,"Jaguar XF 2.2 Litre Luxury","Delhi",2014,48000,"First",16.36,2179,187.7,5,20.9168341708543,26.5,1,0,1,0,10,-0.558316582914573
"1002",1038,"Land Rover Range Rover TDV8 (Diesel)","Bangalore",2011,55000,"First",10.2,4367,308,7,20.9168341708543,67,1,0,1,0,13,-3.54485890993429
"1003",1039,"Jeep Compass 1.4 Limited Option","Mumbai",2017,4000,"First",16,1368,160,5,23.68,17.75,0,1,1,0,7,0.847142857142857
"1004",1040,"Honda CR-V 2.4 AT","Delhi",2010,94000,"Second",10.1,2354,152,5,20.9168341708543,4.8,0,1,1,0,14,1.15120244077531
"1005",1041,"Maruti Swift VXI","Coimbatore",2013,61110,"First",18.6,1197,85.8,5,20.9168341708543,4.57,0,1,0,1,11,1.48607583371402
"1006",1042,"Hyundai Xcent 1.1 CRDi S","Chennai",2016,80000,"First",24.4,1120,71,5,20.9168341708543,3.5,1,0,0,1,8,2.17710427135678
"1007",1043,"Nissan Terrano XV Premium 110 PS","Kochi",2015,43190,"First",19.01,1461,108.5,5,20.9168341708543,7.61,1,0,0,1,9,1.47853713009492
"1008",1044,"Audi A4 35 TDI Technology","Hyderabad",2015,45000,"First",18.25,1968,187.74,5,55.61,25,1,0,1,0,9,3.40111111111111
"1009",1045,"Hyundai Grand i10 Asta Option","Coimbatore",2016,44178,"First",18.9,1197,82,5,20.9168341708543,5.88,0,1,0,1,8,1.87960427135678
"1010",1046,"Toyota Innova 2.5 G (Diesel) 8 Seater","Hyderabad",2015,84415,"First",12.99,2494,100.6,8,20.9168341708543,13.5,1,0,0,1,9,0.824092685650475
"1011",1047,"Hyundai i20 1.2 Magna","Kolkata",2015,35000,"First",18.5,1197,80,5,20.9168341708543,4.6,0,1,0,1,9,1.81298157453936
"1012",1048,"Ford EcoSport 1.5 TDCi Titanium","Kolkata",2013,44000,"First",22.77,1498,98.59,5,20.9168341708543,4.9,1,0,0,1,11,1.45607583371402
"1013",1049,"Honda City 1.5 S MT","Hyderabad",2012,67635,"First",17,1497,118,5,20.9168341708543,5.25,0,1,0,1,12,1.30556951423786
"1014",1050,"Ford EcoSport 1.5 Petrol Titanium Plus AT","Coimbatore",2018,18385,"First",14.8,1497,121.36,5,14.1,12.41,0,1,1,0,6,0.281666666666667
"1015",1051,"Volkswagen Polo Diesel Highline 1.2L","Kolkata",2014,35000,"First",22.07,1199,73.9,5,20.9168341708543,3.8,1,0,0,1,10,1.71168341708543
"1016",1052,"Mercedes-Benz New C-Class C 220 CDI Avantgarde","Mumbai",2010,49000,"First",19.27,2143,170,5,20.9168341708543,8.95,1,0,1,0,14,0.854773869346734
"1017",1053,"Ford Ecosport 1.5 DV5 MT Titanium","Hyderabad",2013,69000,"First",22.7,1498,89.84,5,20.9168341708543,7.2,1,0,0,1,11,1.24698492462312
"1018",1054,"Tata Indigo GLE","Hyderabad",2017,23228,"First",14.4,1396,65,5,20.9168341708543,4.5,0,1,0,1,7,2.34526202440775
"1019",1055,"Maruti Swift Dzire LDI","Delhi",2014,68462,"First",26.59,1248,74,5,20.9168341708543,4.15,1,0,0,1,10,1.67668341708543
"1020",1056,"Maruti S-Cross Zeta DDiS 200 SH","Coimbatore",2016,74611,"First",25.1,1248,88.5,5,13.26,7.94,1,0,0,1,8,0.665
"1021",1057,"Renault Duster 110PS Diesel RxZ Pack","Pune",2014,90000,"First",19.01,1461,108.45,5,20.9168341708543,7.25,1,0,0,1,10,1.36668341708543
"1022",1058,"Maruti Wagon R VXI","Delhi",2016,22000,"First",18.9,998,67.1,5,20.9168341708543,3.7,0,1,0,1,8,2.15210427135678
"1023",1059,"Hyundai Santro Xing GL","Hyderabad",2010,58163,"First",0,1086,62,5,20.9168341708543,2.45,0,1,0,1,14,1.31905958363245
"1024",1060,"Chevrolet Beat Diesel LT","Chennai",2011,109500,"Third",25.44,936,57.6,5,20.9168341708543,1.5,1,0,0,1,13,1.49360262852725
"1025",1061,"Mahindra XUV500 W4 1.99 mHawk","Delhi",2017,13363,"First",16,1997,140,7,20.9168341708543,12,1,0,0,1,7,1.27383345297918
"1026",1062,"Hyundai i10 Era 1.1","Delhi",2012,51000,"Second",19.81,1086,68.05,5,20.9168341708543,2.2,0,1,0,1,12,1.55973618090452
"1027",1063,"Tata New Safari DICOR 2.2 EX 4x4","Hyderabad",2007,103000,"First",13.93,2179,138,7,20.9168341708543,3.6,1,0,0,1,17,1.0186373041679
"1028",1064,"Hyundai i10 Sportz","Kolkata",2009,43002,"First",20.36,1197,78.9,5,20.9168341708543,1.92,0,1,0,1,15,1.26645561139028
"1029",1065,"Toyota Innova Crysta 2.8 ZX AT","Bangalore",2016,108000,"First",11.36,2755,171.5,7,28.05,20.5,1,0,1,0,8,0.94375
"1030",1066,"Skoda Laura Elegance MT","Jaipur",2010,82407,"First",17.5,1896,106,5,20.9168341708543,4.25,1,0,0,1,14,1.19048815506102
"1031",1067,"Hyundai Grand i10 Sportz","Kolkata",2013,29000,"First",18.9,1197,82,5,20.9168341708543,3.2,0,1,0,1,11,1.61062128825948
"1032",1069,"Maruti Swift Dzire VDI","Kolkata",2014,45000,"First",23.4,1248,74,5,20.9168341708543,3.85,1,0,0,1,10,1.70668341708543
"1033",1070,"Hyundai i20 Asta 1.4 CRDi (Diesel)","Kochi",2010,93401,"First",23,1396,90,5,20.9168341708543,3.48,1,0,0,1,14,1.24548815506102
"1034",1071,"Ford Figo 2015-2019 1.5D Trend MT","Hyderabad",2017,95802,"Second",25.83,1498,99,5,20.9168341708543,4.55,1,0,0,1,7,2.3381191672649
"1035",1072,"Maruti Ertiga VDI","Pune",2016,130000,"First",25.47,1248,88.5,7,11.27,7,1,0,0,1,8,0.53375
"1036",1073,"Maruti Ertiga ZDI","Ahmedabad",2013,67443,"First",20.77,1248,88.8,7,20.9168341708543,5.75,1,0,0,1,11,1.3788031064413
"1037",1074,"Honda City 1.5 V AT Sunroof","Kochi",2016,47681,"First",16.8,1497,116.3,5,20.9168341708543,8.73,0,1,1,0,8,1.52335427135678
"1038",1075,"Maruti Alto LXi BSIII","Hyderabad",2009,35000,"First",19.7,796,46.3,5,20.9168341708543,1.7,0,1,0,1,15,1.28112227805695
"1039",1076,"Ford Endeavour 3.2 Titanium AT 4X4","Hyderabad",2016,68000,"First",10.91,3198,197,7,20.9168341708543,29.5,1,0,1,0,8,-1.07289572864322
"1040",1077,"Maruti Vitara Brezza ZDi Plus","Kochi",2019,34688,"First",24.3,1248,88.5,5,11.2,10.49,1,0,0,1,5,0.142
"1041",1078,"Porsche Boxster S tiptronic","Kolkata",2015,10512,"First",8.6,2706,265,2,20.9168341708543,64,0,1,1,0,9,-4.78701842546064
"1042",1079,"Maruti Swift ZDi","Pune",2016,58000,"First",22.9,1248,74,5,20.9168341708543,7.55,1,0,0,1,8,1.67085427135678
"1043",1080,"Tata Zest Revotron 1.2 XT","Mumbai",2014,40000,"First",17.57,1193,88.7,5,8.56,3.95,0,1,0,1,10,0.461
"1044",1081,"Hyundai i20 1.2 Sportz Option","Bangalore",2010,61000,"Fourth & Above",17,1197,80,5,20.9168341708543,3.25,0,1,0,1,14,1.26191672648959
"1045",1082,"Skoda Fabia 1.4 TDI Active","Mumbai",2009,86000,"First",19.4,1422,70,5,20.9168341708543,2.75,1,0,0,1,15,1.21112227805695
"1046",1083,"Toyota Corolla Altis D-4D J","Kolkata",2015,45000,"First",21.43,1364,87.2,5,20.9168341708543,7.35,1,0,0,1,9,1.50742601898381
"1047",1084,"Volkswagen Ameo 1.2 MPI Comfortline","Ahmedabad",2017,55000,"First",17,1198,73.75,5,20.9168341708543,4.7,0,1,0,1,7,2.31669059583632
"1048",1085,"Hyundai Creta 1.6 VTVT S","Kochi",2016,36855,"Second",15.29,1591,121.3,5,20.9168341708543,8.77,0,1,0,1,8,1.51835427135678
"1049",1086,"Hyundai i10 Magna 1.2","Kochi",2013,46821,"First",20.36,1197,78.9,5,20.9168341708543,3.42,0,1,0,1,11,1.59062128825948
"1050",1087,"Chevrolet Beat LS","Kolkata",2015,120000,"First",18.6,1199,76.8,5,20.9168341708543,2.5,0,1,0,1,9,2.0463149078727
"1051",1088,"Jaguar XF 3.0 Litre S Premium Luxury","Kolkata",2012,29000,"First",14.74,2993,270.9,5,20.9168341708543,20,1,0,1,0,12,0.0764028475711894
"1052",1089,"Nissan Terrano XL","Mumbai",2014,40000,"First",13.24,1598,102.5,5,20.9168341708543,5.25,0,1,0,1,10,1.56668341708543
"1053",1090,"Audi Q3 2012-2015 2.0 TDI Quattro Premium Plus","Delhi",2013,60000,"Second",15.73,1968,174.33,5,20.9168341708543,14.5,1,0,1,0,11,0.583348560986752
"1054",1091,"Hyundai i10 Asta AT","Mumbai",2011,64984,"First",16.95,1197,78.9,5,20.9168341708543,3.45,0,1,1,0,13,1.34360262852725
"1055",1092,"Maruti Alto K10 VXI AGS","Pune",2015,73204,"First",24.07,998,67.1,5,20.9168341708543,3.3,0,1,1,0,9,1.95742601898381
"1056",1093,"Audi Q7 4.2 TDI Quattro Technology","Bangalore",2014,50000,"First",11.33,4134,335.2,7,20.9168341708543,51,1,0,1,0,10,-3.00831658291457
"1057",1094,"Maruti Vitara Brezza VDi","Kolkata",2017,35000,"First",24.3,1248,88.5,5,9.46,6.5,1,0,0,1,7,0.422857142857143
"1058",1095,"Hyundai EON D Lite Plus","Hyderabad",2013,17729,"First",21.1,814,55.2,5,20.9168341708543,3.65,0,1,0,1,11,1.56971219735039
"1059",1096,"Mahindra XUV300 W8 Diesel","Chennai",2012,97000,"First",20,1497,115,5,12.79,7.25,1,0,0,1,12,0.461666666666667
"1060",1097,"Hyundai Verna CRDi 1.6 SX Option","Kochi",2014,89614,"First",22,1582,126.2,5,15.57,6.01,1,0,0,1,10,0.956
"1061",1098,"Maruti Wagon R VXI","Kolkata",2015,14000,"First",18.9,998,67.1,5,20.9168341708543,2.8,0,1,0,1,9,2.01298157453936
"1062",1099,"Hyundai i20 Sportz Option","Chennai",2012,50000,"First",17,1197,80,5,20.9168341708543,4,0,1,0,1,12,1.40973618090452
